code,food_name,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg
05021,"Mulberry, raw",55,1.2,19,40,310,6,0.2,1
05022,"Orange, Juice",21,0.7,11,20,146,2,0.08,0
05023,"Orange, pulp, raw",23,0.2,10,13,165,5,0.05,0
05024,"Papaya, yellow skin, peeled, raw",21,0.6,28,17,140,4,0.2,0
05025,"Passion fruit, dark purple skin, raw",10,0.6,28,68,200,19,0.8,1
05026,"Passion Fruit, juice",13,0.4,21,20,252,10,0.3,0
05027,"Peach, yellow-fleshed, unpeeled, raw",5,0.3,8,20,203,2,0.11,1
05028,"Pear, unpeeled, raw",8,0.3,7,11,96,1,0.08,0
05029,"Pineapple, canned in syrup, whole contents",4,0.4,11,3,80,6,0,1
05030,"Pineapple, raw",16,0.4,13,8,143,1,0.37,1
05031,"Plum, purple skin, raw",10,0.4,7,12,158,1,0.1,0
05032,"Pomegranate, raw",12,0.8,9,37,172,4,0.4,1
05033,"Raspberry, raw",27,0.8,25,37,156,1,0.32,1
05034,"Strawberry, raw",19,0.6,8,27,158,3,0.18,1
05035,"Tangerine, juice, non-commercial",12,0.2,11,20,178,1,0.03,0.1
05036,"Tangerine, pulp, raw",26,0,17,17,150,2,0.1,1
05037,"Tree tomato, dark red skin, peeled, raw",56,1,19,51,133,20,0.4,0
05038,"Watermelon, fruit, green with white stripes, raw",4,0.7,10,20,88,2,0.21,0
05039,"Zambarau, peeled, raw",44,0.5,17,17,72,11,0.42,1
06001,"Butter (cow milk), no added salt (~80-84% fat)",15,0,2,20,15,10,0.06,1
06002,"Butter (cow milk), salted (~80% fat)",17,0.01,2,16,23,776,0.06,1
06003,"Cheese, cheddar, regular fat",800,0.3,27,478,73,600,3.55,17
06004,"Cheese, cottage (cow milk), plain, skimmed",60,0.1,8,143,123,450,0.24,6
06005,"Cheese, cottage (cow milk), plain, whole",89,0.1,8,143,123,277,0.24,6
06006,"Cheese, cottage, Milk, Cow, Sour",112,0.7,8,180,104,364,0.4,10
06007,"Cream, pure, 35% fat",39,0.3,4,60,55,40,0,0
06008,Ghee (cow milk),2,0.2,0,3,5,2,0.01,1
06009,"Ice cream, caramel flavour, regular fat",93,0.1,12,84,142,48,0.23,1
06010,"Ice cream, chocolate flavour, regular fat",130,0.9,30,110,245,71,0.6,2
06011,"Ice cream, strawberry flavour, regular fat",107,0.2,13,92,165,54,0.29,2
06012,"Ice cream, vanilla flavour, regular fat",117,0.2,12,84,142,64,0.23,1
06013,"Ice cream, vanilla flavour, with nuts, regular fat",92,0.2,15,91,157,47,0.3,1
06014,"Milk, camel, whole, fresh, raw",56,1.5,16,92,344,119,0.35,2
06015,"Milk, cow, condensed, skimmed, sweetened, raw",358,0.3,30,300,446,125,1.05,8
06016,"Milk, cow, condensed, whole, sweetened, raw",280,0.2,25,255,357,130,0.9,8
06017,"Milk, cow, powder, skimmed",1290,0.4,115,1000,1602,550,3.83,23
06018,"Milk, cow, powder, whole",975,0.5,85,730,1157,440,2.97,25
06019,"Milk, cow, skimmed, raw",130,0.1,12,109,170,44,0.32,1
06020,"Milk, cow, whole, fermented (Lala - Industrial)",100,0.1,10,138,126,36,0.34,3
06021,"Milk, cow, whole, fermented (Lala - mursik)",65,0.1,5,59,64,22,0.22,0
06022,"Milk, cow, whole, fresh, raw",119,0.1,11,122,136,39,0.63,3
06023,"Milk, goat, fluid, whole, raw",180,0.1,12,128,207,57,0.35,1
06024,"Milk, human/breast, mature, fluid",32,0,3,15,51,14,0.17,2
06025,"Milk, sheep, fluid, whole, raw",193,0.1,18,142,175,44,0.54,2
06026,"Yoghurt, cow milk, whole, plain",149,0.2,10,93,130,32,0.34,2
06027,"Milk, camel, whole, fresh, boiled",66,1.7,18,108,404,140,0.41,2
06028,"Milk, cow, skimmed, boiled",153,0.1,14,128,200,52,0.38,1
06029,"Milk, cow, whole, fresh, boiled",140,0.1,13,143,160,45,0.74,3
06030,"Milk, goat, fluid, whole, boiled",211,0.1,14,150,243,68,0.41,1
06031,"Milk, sheep, fluid, whole, boiled",227,0.1,21,166,206,52,0.64,2
07001,"Beef, high fat, w/o bones, raw",16,2.2,12,188,134,83,3,1
07002,"Beef, lean, raw",5,2.3,24,279,241,107,4.22,15
07003,"Beef, liver, raw",6,10.1,17,369,159,75,4.12,17
07004,"Beef, medium fat, w/o bones, raw",4,12.4,24,280,231,121,3.85,20
07005,"Camel blood, raw",8,20.6,6,33,114,313,0.65,12
07006,Camel Meat,4,3.8,13,134,325,49,1.93,9
07007,"Cow’s blood, raw",14,18.8,5,20,199,469,1.13,21
07008,"Duck, meat and skin, fresh, raw",5,1.9,15,167,212,82,1.55,20
07009,"Chicken, unespecified part, w/o bone, meat&skin, raw",13,2.5,20,243,152,68,0.89,16
07010,"Egg, chicken, white (albumen), raw",5,0.1,11,10,119,143,0,11
07011,"Egg, chicken, whole, raw",54,1.7,14,180,126,155,1.13,23
07012,"Egg, chicken, yolk, raw",130,6,8,398,104,50,2.5,56
07013,"Goat blood, raw",8,27.2,6,23,169,216,0.65,12
07014,"Goat, lean, raw",10,7.2,29,276,243,156,3.66,22
07015,"Goat liver, raw",12,6.6,18,308,225,64,3.48,48
07016,"Goat, medium fat, raw",10,1.9,22,237,198,121,3.26,26
07017,"Guinea fowl, meat, with skin",31,2.2,21,187,240,58,1.48,24
07018,"Lamb liver, raw",10,8.3,18,413,326,67,4.22,57
07019,"Lamb, raw (unspecified part)",12,1.7,22,150,230,60,3.33,20
07020,"Pork, meat, raw (unspecified part)",25,1.1,13,178,253,58,1.59,28
07021,"Rabbit meat, raw",12,1,18,290,370,53,1.6,25
07022,"Sausage, beef, raw",42,1,26,492,279,679,3.42,79
07023,"Sausage, frankfurters",78,1.5,11,150,75,1000,2.3,7
07024,"Sausage, liver, raw",30,6.4,12,230,170,900,2.3,58
07025,"Sausage, pork, raw",25,1.1,15,160,160,720,1.7,26
07026,"Quail, flesh & skin, raw",10,2.6,24,243,358,49,1.58,16
07027,"Egg, chicken, whole, boiled (without salt)",51,1.6,13,171,120,147,1.07,21
07028,"Egg, chicken, whole, poached (without salt)",58,1.9,15,194,136,167,1.21,24
07029,"Egg, chicken, yolk, boiled (without salt)",124,5.7,8,378,99,48,2.38,53
07030,"Egg, chicken, white (albumin), boiled (without salt)",5,0.1,10,10,113,135,0,10
07031,"Beef, high fat, w/o bones, boiled (without salt)",21,3.7,12,203,112,62,5,1
07032,"Beef, high fat, w/o bones, grilled (without salt and fat)",20,3,14,235,158,98,4.17,1
07033,"Beef, high fat, w/o bones, stewed (without salt)",21,3.5,12,235,105,58,4.69,1
07034,"Beef, lean, boiled (without salt)",7,4.7,30,370,246,99,8.62,30
07035,"Beef, lean, grilled (without salt and fat)",6,3.1,29,349,285,127,5.87,20
07036,"Beef, lean, stewed (without salt)",7,4.4,30,421,228,91,7.97,28
07037,"Beef, liver, boiled (without salt)",7,14.6,20,391,145,68,6.25,25
07038,"Beef, medium fat, without bones, boiled (without salt)",5,20.7,24,303,192,91,6.41,34
07039,"Beef, medium fat, without bones, grilled (without salt and fat)",5,16.3,28,350,272,143,5.34,28
07040,"Beef, medium fat, without bones, stewed (without salt)",5,19.4,24,350,180,85,6.01,32
07041,"Chicken, unspecified part, w/o bone, meat&skin, boiled (without salt)",14,2.5,18,215,77,34,1.13,21
07042,"Chicken, unspecified part, w/o bone, meat&skin, grilled (without salt and fat)",15,2.9,19,249,156,70,1.14,21
07043,"Goat, lean, boiled (without salt)",12,9.9,34,317,217,137,5.46,33
07044,"Goat, lean, grilled (without salt and fat)",14,9.6,35,332,281,189,5.03,32
07045,"Goat, liver, boiled (without salt)",14,9.4,22,326,205,58,5.27,73
07046,"Goat, medium fat, boiled (without salt)",12,2.7,25,273,177,106,4.86,38
07047,"Goat, medium fat, grilled (without salt and fat)",14,2.6,26,286,229,147,4.48,37
07048,"Lamb, liver, boiled (without salt)",12,12,22,438,296,61,6.39,86
07049,"Lamb, unspecified part, boiled (without salt)",14,2.5,21,179,189,54,4.97,30
07050,"Lamb, unspecified part, grilled (without salt and fat)",17,2.3,27,185,283,74,4.83,29
07051,"Pork, meat, unspecified part, boiled (without salt)",30,1.8,12,164,195,40,2.45,44
07052,"Pork, meat, unspecified part, grilled (without salt and fat)",26,1.3,18,228,307,75,2.27,41
07053,"Rabbit meat, stewed (without salt)",15,1.5,17,341,299,47,2.35,37
07054,"Rabbit meat, roasted (without salt and fat)",13,1.1,17,280,336,51,1.82,28
07055,"Sausage, beef, grilled (without salt and fat)",57,1.6,35,623,316,815,4.55,106
07056,"Sausage, frankfurters, boiled (without salt)",68,1.5,11,155,66,876,2.37,7
07057,"Sausage, liver, grilled (without salt and fat)",40,8.5,16,291,193,1080,3.07,77
07058,"Sausage, pork, boiled (without salt)",23,1.1,16,174,148,665,1.85,28
07059,"Sausage, pork, grilled (without salt and fat)",34,1.5,21,211,189,900,2.36,36
08001,"Cod, fillet, raw",15,0.2,26,209,367,79,0.37,27
08002,"Dagaa fish (omena), dried, raw",2790,6.9,98,2730,800,300,16,22
08003,"Eel, raw",20,0.6,20,216,272,70.5,1.62,6.5
08004,"Herring stock, raw",67,1.1,32,250,357,95,0.81,36
08005,"Lungfish, fillet, raw",180,2.6,20,253,168,91,1.12,24
08006,"Mudfish (kamongo), fillet, raw",23,0.5,24,180,301,41,1.07,38
08007,"Mackerel, raw",23,0.9,33,215,395,66,0.52,48
08008,"Nile perch, dry, raw",516,4,112,1092,859,376,2,84
08009,"Nile perch, fillet w/o bones, raw",133,1,29,282,222,97,0.56,22
08010,"Nile tilapia, fillet, w/o skin and bones, raw",109,2.7,17,167,151,64,0.5,17
08011,"Prawns, flesh, raw",59,1.5,43,246,252,191,1.43,42
08012,"Sardine, flesh, raw",42,1.3,36,256,364,38,1.2,50
08013,"Shark, raw",8,0.38,32.58,263,372,63.63,0.46,28.9
08014,"Tuna, raw",5,0.8,41,266,379,50,0.46,73
08015,"Cod, fillet, steamed (without salt)",18,0.2,27,217,336,82,0.45,29
08016,"Cod, fillet, grilled (without salt and fat)",20,0.2,31,251,416,90,0.49,35
08017,"Cod, fillet, boiled in recipe (without salt and fat)",18,0.3,31,255,448,97,0.45,32
08018,"Dagaa fish (omena), dried, stewed (without salt)",1270,3.1,44,1240,364,136,7.39,10
08019,"Eel, steamed (without salt)",24,0.6,20,221,246,72,1.95,7
08020,"Eel, grilled (without salt and fat)",26,0.7,23,252,300,78,2.1,8
08021,"Eel, boiled in recipe (without salt and fat)",24,0.7,24,260,328,85,1.95,8
08022,"Herring stock, steamed (without salt)",80,1.1,33,256,322,97,0.97,39
08023,"Herring stock, grilled (without salt)",87,1.3,37,292,394,105,1.05,47
08024,"Herring stock, boiled in recipe (without salt and fat)",80,1.4,39,301,430,114,0.97,43
08025,"Lungfish, fillet, steamed (without salt)",217,2.5,21,259,152,93,1.34,26
08026,"Lungfish, fillet, grilled (without salt and fat)",234,2.9,24,296,185,100,1.45,31
08027,"Lungfish, fillet, boiled in recipe (without salt and fat)",217,3.2,24,305,202,109,1.34,28
08028,"Mudfish (kamongo), fillet, steamed (without salt)",28,0.5,24,184,272,42,1.29,41
08029,"Mudfish (kamongo), fillet, grilled (without salt and fat)",30,0.6,28,210,333,45,1.39,49
08030,"Mudfish (kamongo), fillet, boiled in recipe (without salt and fat)",28,0.7,29,217,363,49,1.29,46
08031,"Prawns, fresh, steamed (without salt)",71,1.4,44,252,228,196,1.72,45
08032,"Prawns, fresh, grilled (without salt and fat)",69,1.7,50,286,293,223,1.66,48
08033,"Prawns, fresh, boiled in recipe (without salt and fat)",71,1.5,47,267,258,196,1.72,50
08034,"Sardine, fresh, steamed (without salt)",50,1.2,36,256,321,38,1.45,53
08035,"Sardine, fresh, grilled (without salt and fat)",58,1.5,44,316,423,45,1.68,69
08036,"Sardine, fresh, boiled in recipe (without salt and fat)",50,1.6,42,301,428,45,1.45,59
08037,"Shark, steamed (without salt)",10,0.4,33,269,336,65,0.55,31
08038,"Shark, grilled (without salt and fat)",11,0.4,38,307,411,70,0.6,38
08039,"Shark, boiled in recipe (without salt and fat)",10,0.5,39,316,448,77,0.55,35
08040,"Tuna, steamed (without salt)",7,0.8,44,283,355,53,0.57,83
08041,"Tuna, grilled (without salt and fat)",7,1,50,324,435,57,0.62,99
08042,"Tuna, boiled in recipe (without salt and fat)",7,1,52,333,474,63,0.57,92
09001,Animal fat/ lard,1,0.1,0,3,1,2,0.11,0
09002,Corn oil,0,0,0,0,0,0,0.01,0
09003,Fish liver oil,0,0,0,0,0,0,0,0
09004,"Margarine,20% fat",0,0,1,14,25,733,0,0
09005,"Margarine,60% fat",21,0,2,16,30,700,0,0
09006,"Margarine,80% fat",10,0,2,10,5,300,0,0
09007,Mustard seed oil,0,0,0,0,0,0,0,0
09008,Olive oil,0,0,0,1,0,0,0.01,0
09009,Peanut oil,0,0.1,1,3,0,0,0.1,0
09010,Red palm oil,6,0,0,7,0,0,0,0
09011,"Shortening, commercial, vegetable fat",1,0,0,0,1,1,0.02,0
09012,Soya bean oil,0,0,0,0,0,0,0,0
09013,Sun flower oil,0,0,0,0,0,0,0.01,0
10001,"Bambara groundnuts, dried, raw",39,3.3,166,190,1330,2,1.81,0
10002,"Coconut, fresh, mature fruit, flesh",18,2.3,47,146,125,29,0.73,3
10003,"Coconut, fresh, young or immature, flesh",34.7,1.2,35,56,266,12,0.42,4
10004,"Coconut meat, dried (desiccated)",25.7,2.7,88.8,210,536,36.5,2,3
10005,"Jack fruit, seed, mature, dry, raw",84,5.9,126,205,463,8,1.56,1
10006,"Mustard Seeds, Dry, Raw",433,16,220,587,380,2,3.9,70
10007,"Nut, almond, with or without skin, raw, unsalted",249,4.1,283,469,724,1,3.44,4
10008,"Nut, ground nut, with skin, unsalted, dry, raw",117,5.5,225,232,630,1,2.24,12
10010,"Nut, macadamia, raw, unsalted",44,2.2,100,276,308,5,1.3,10
10011,"Nut, pistachio, raw, unsalted",116,4.8,132,503,1030,5,2.07,6
10012,Peanut Butter,117,5.5,225,232,630,1,2.24,12
10013,"Seed, pumpkin, hulled & dried, unsalted",50,5.5,519,1140,796,19,7.24,9
10014,"Seed, sesame (sim sim) unsalted, dry, raw",1430,9.7,333,803,322,7,1.72,21
10015,"Seed, sunflower, unsalted, dry, raw",98,5,362,670,450,0,6,61
10016,"Water Melon, Seed Kernel, Dry, Raw",69,7.1,513,706,433,99,3.4,10
11001,"Honey, Raw",11,0.6,3,4,74,17,0,3
11002,"Sugarcane, Juice, Raw",10,1.1,13,22,150,1,0.14,0
11003,"Sugar, white, granulated or lump",0,0,0,0,0,0,0,1
12001,"Beef, broth",4,0,4,56,144,266,0.03,1
12002,"Coconut, fresh, water",24,0.2,11,14,130,5,0.13,1
12003,"Coffee, instant, dry powder or granules",145,3.9,350,320,3690,83,0.71,9
12004,"Drinking chocolate, powder",60,2,98,128,591,120,1.55,3
12005,"Tea, chai, instant dry powder",118,2.3,272,239,6040,72,1.7,15
12006,"Water, tap",3,0,1,0,1,3,0,0.2
12007,"Wine, Red",8,0.3,11,16,89,10,0.07,1
12008,"Wine, White, Dry",8,0.5,8,12,54,14,0.08,1
